review,bug_report,improvement_request,rating,others
تطبيق ممتاز بس لو يشتغل,High,No,Medium,No
حملات اللعبة وبلا غلط وانا احمل حذفته ثمن جيت احمل بس م يحمل بس يحمل بتطبيق ثمن مايكمل ثمن ينحذف لييش؟؟؟؟,High,No,No,No
لم استفد من الموقع للان رغم محاولات الدخول والتي يتم رفضها بعد التأكد من الإدخال,High,No,No,No
برنامج اكثر من رائع,No,No,High,No
مشكلتي المس لزم دولر المفروض فست تغذ 50المس 🔷️وا تكدر تحذف البوام اول مره مجنان اذ تحذف ثني 3000من نقط المعارك ارجوكم🥺 رح احط خمس نجوم كتبه بس مسر شي وا تعدلو ثاموز,Medium,Low,No,Low
النها سئه جدا لا حد يحملها النها للكفار أعوذ بالله الله يحرمنا منهم,No,No,Medium,Medium
برنامج بطل بكل ماتعنيه الكلمة,No,No,High,No
هناك مشكلة في التطبيق، عندما احاول ارسال البلاغ تظهر رسالة عالشاشة بأنه لا يوجد اتصال بالانترنت,High,No,No,No
ممتاز لكنه بعض احيان لا يريد ان يشتغل,High,No,Medium,No
ي خي الغو الاتصال اون لاين قفطه,No,Medium,No,No
تطبيق ممتاز جدا فقط ينقصه امكانية طباعة العنوان الوطني عن طريق التطبيق للجوالات بواسطة wi fi للعميل والتابعين المسجلين,No,High,Medium,No
للأسف في مميزات كثيره موجودة بتطبيقات أخرى أفضل من هذا التطبيق زي ميزة الحذف وقت الخربشات وهناك نقص في الأدوات حيث إني ما اقدر استخدم الالوان بشكل مباشر لازم اضغط على الخط عشان اختار وهذا مرا ما عجبني,No,High,No,No
اللعبه مره مره حلوه كثير و تزيل عنك الملل 🤩🤩🤩❣️❣️ انصح انكوا تنزلوها الحين,No,No,High,No
برنامج لاغنى عنه في حمايتك من الاعلانات المزعجة,No,No,High,No
لعبة جميلة جدا مثل صاحبها انا اشكركم على هاذة العبة الممتعة,No,No,High,No
اللعب شوي حلوه ههههههههههههه ما ادري ليه,No,No,Medium,No
يحتاج الى تحديث ومتابعه بصفه مستمره,No,Medium,No,No
دايم الحظ مع الخصم الباكستاني حتى من غير استعمال الجواهر,No,No,No,High
مافتح ليش معذبين نفسكم ... ولاعشان محد يشتكي,High,No,No,No
انصح الجميع فيها,No,No,High,No
اين الاحترافية في التصميم ويلزم اضافة كافة الخدمات وخدمات الاستفادة من العضوية,No,High,No,No
الصراحة لعبة تستاهل الوقت مليئة بالمراحل الجديدة يومياً,No,No,High,No
ممتاز جداً استغفرالله العضيم واتوب اليه,No,No,Medium,No
التطبيق يحتاج تعديلات ماينفتح مرا ويعلق ويطلعنا من البرنامج,Medium,No,No,No
ممكن ترجعون لي حسابي ممكن,No,No,No,High
بالنسبه لبيانات الاعتماد غير صالحه ..!! واجهت نفس المشكلة  ..والحل>>> حول اللغة للإنجليزية قبل الدخول .. تحياتي,Medium,No,No,No
مهوب سيء مره,No,No,Medium,No
ان البرنامج جدا جميل وهذا رائيي الشخصي,No,No,High,No
برنامج فاشل ما يسجل دخول يطلب اضافه يعني يخليك تحمل على الفاضي افششل برنامج,Medium,Low,High,No
برنامج حلو بس مشكلة التعليق هو غير مستقر بعلق وبطيء,Medium,No,Medium,No
ياههههه اجمل برنامج على. وجه الارض😭.,No,No,High,No
اللعبه مليانه قلتشات وبعض الاحيان ماتشتغل مع ان جوال هواوي p30pro وكمان 8 رام حرام ضياع فلوس,High,No,No,No
الحمد لله اشتريت كل الشاحنات واشتريت  كل التراخيص حقت البناء في 5 أيام بس وطفشت  ومحتاج بس حلوة,No,Medium,Medium,No
انا بحب كل عام وانتم بخير. و قد تم لعبها في كل عام وانت بسمة الدنيا السبع الجديدة التي لا يمكن الربط بصور موجودة على كل شيء صحيحا عليك الاتصال بمسؤول الموقع فقد يكونوا قد اعدوا المنتدى بشكل غير صحيح. وإذا كان هذا حدث غير متوقع. في الوقت نفسه إلى جانب سورية في وجه كل من ساهم في نشر الموضوع.,No,No,No,High
"انها لعبة سيئة ليس كما شاهدتها في الأعلان 
النجمه فقط لكي اعلق وانصحكم بعدم تحميلها 
انها لا تستحق حتى ربع نجمه",No,No,High,No
حمودي حبيبي متى تتزوجني وعلى وعدك قلت لي انك تشيلني وتبوسني الو حبيبي الي حيشوف معاريه تعال بوسني وشيلني. من فدري يلا حببببببيييي👩‍❤️‍👨,No,No,No,High
اول شي ما عرفت العبا بعدين صارت سهله و حلوه كتيييير,No,Low,High,No
ليه تغيرون تويتر فاشل تقيم صفر,No,No,Medium,No
يا بابا يا ماما يا أخي عائلتي باغي التحديث جديد ارجوك بسرعة، مافي تحديث في حسابي 🙂 باغي تحديث حالي و حال صديقي☺️,Low,No,No,High
لو سمحتو تكفون بالغلط حذفة اللعبه وانا مره تعبان على اللعبه لأني قعت شهرين في اللعبه وموصل لفل 26 تكفون ابي ارجعها,Medium,Medium,No,No
دائماً الرسيفر مضغوط,Medium,Medium,No,No
السلام عليكم ورحمة الله وبركاته انا اخوكم فخر العرب اقسم انه برنامج شغال على النصب والاحتيال والاتهامات الباطله ويشتغلو على بيع أعراض الناس وبرنامج غير موثق وبياناتك كلها تكون مهكره انتبه انتبه انتبه,No,No,High,High
م م م م م ممتازززززززز🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩☺🤩🤩🤩☺🤩😝🙃🤩😇,No,No,Medium,No
شنو هالتحديثات الخرا هدفكم فلوس اربيكم,Medium,Low,Medium,No
كل ما تم جمعه وكل ما تم تطويره خسرته ومشاكل المكرفون كثرت التحديث سيئ بكل ماتعنيه الكلمه,Medium,No,Medium,No
من افضل التطبيقات الغنائية بس اقتراحي يكون تقدر تشوف الاغنية الأكثر استماع و كذا,No,Low,High,No
فرص الفوز بالذهب قليله والشراء غالي ومكلف,No,Medium,No,Low
اسعار التوصيل غالية,No,Medium,No,Medium
البرنامج حلو بس لو يدعم اللغه العربيه,No,High,Medium,No
عندما حدثت التلقرام اختفت خاصية التدمير الذاتي التلقائي كيف استعيدها,Low,Medium,No,Low
تطبيق رائع وستخدامه سهل انصح الكل ينزل التطبيق,No,No,High,No
برنامج لايعمل اول متدخل برنامج يطلعك,High,No,No,No
حلوههه حلوهه حلوهه حلوهه مرههه بس الشي الي مو عاجبني انا و أكثر الناس انو لما ابغا اكتب ل صديقتي ف الدردشه (احبك) يصير كذا(####) بس انها تجننننن بس حملوهااا مره حلوه بايييي 😭😭❤️,Low,Low,High,No
أحد أرقامي لا يظهر في قائمة أرقامي,Medium,No,No,No
سيييييي ه جداد ببببثثثثبببثثثثففثثسسييللحص٢صص٢٢تتبعععيسععععهه أمزح مرمرمرمر راهيبه,No,No,Medium,No
بسم الله الرحمان الرحيم   وبعد نطالب تطبيق خرائط جوجل بتغير اسم اسرائيل الى فلسطين الدولة المعترف بة عند مليار وثمان مئة مليون شخص وأكثر من مئة وثلاثين دولة احترمورغبات العرب والمسلمين وشكرآ,No,Medium,No,Medium
اكثر من رائع,No,No,High,No
تطبيق ابن م**اكة هو ولي عملو ولا اي حاجه من الي ف وصف التطبيق موجودة فيه منصحش حد ينزلو,No,No,Medium,No
يا شباب كيف تشتغل الألعاب للحين ماعرفت,No,No,No,High
التجربة سيئة ؛ الموظفين غير متمرسين وردود دون فائدة,No,Medium,Low,No
الاسعار في ازدياد وحكونا جاي فالطريق,No,Medium,No,Low
هناك مشكلة بالتطبيق جدآ مزعجة لجميع المستخدمين وللأسف هذه المشكلة الفنية لم يتم حلها حتى الآن وهي عند الدخول إلى أي غرفة لا يتواجد بها أي مستخدم يدخل حساب مهمل,High,Low,No,No
لماذا لا يوجد لغه عربية,No,Medium,No,No
أيقونة البرنامج شكلها صغير جدآ في نوت 4 آمل حل هذه الإشكالية.,Medium,No,No,No
لماذا لاتفتح بقية الوحدات ... تفتح وحدة الأيدي ويتم التقييم عليها .. اما باقي الوحدات فلا يوجد محتوى .. مالمشكله,Medium,No,No,No
ختمت مراحل التحديث الي قبل باقل من اسبوع + عادني من البداية,Medium,Medium,No,No
"كيف يتم حسب الابناط بالحكم ولا يتم حسابها بالصن يعني ٦٥-٦٥ خسران الي مشتري !!؟ في اي نظام اتمنى تعديله. ايضا اذا اشترى واحد لازم تقول ""بس ولا"" سبعطعش مره عشان تبدا اللعبه",High,Low,No,No
شريط التقدم متوقف عند بداية اللعبة بعد أخر تحديث قمت به ، ماهو الحل ؟؟,Medium,No,No,No
مرس شحنة ودافع عليها ومعطيكم العنوان منزل الشخص وانتوا الله يهديكم تطلبون دفع لشخص وتكاليف الشحنة علي وتحطونها بالشباك وماترسلونها للبيت الرجال,Low,Medium,No,Low
اخوان صح العبه حلوه كلش بس تره هاي الرموز كلها رموز ماسونيه ولله ...اني ماعرف شنو القصد من وراها بس الرموز ماسونيه كلها,No,No,No,Medium
لعبه اكثر كن رائعه,No,No,High,No
كويس بس ملهاش لازمه وجود رمز الكاميرا على الموبايل,No,Medium,Medium,No
لاكن توجهني المشكلة كثيراً ان هنالك أشخاص يغلقون الطريق علي ولا استطيع التحرك الى بعد ما ينتهي من شراء اغراضه,Medium,No,No,No
في الهند اصغر بقاله واصغر سلعه مكتوب عليها قيمتها من الوزاره مطبووع عالمنتج مافي مجال تغيره اشلون نبلغ حنا ومانعرف قيمة السلعه الاصلي..وش ناقصنا مانصير مثلهم سجلو اسعار السلع وفكونا من الغش حسبنا الله,No,Medium,No,No
لماذا لا تعمل الا على البيانات,Medium,Low,No,No
لا يمكنني الدخول والسبب يعود لشريحتين اتصال في الايفون اتمنى معالجة المشكله في اسرع وقت,Medium,No,No,No
علا زق انتو ولعبتكم,No,No,Medium,No
يقهر بعض الاحيان,No,No,Medium,No
التطبيق مايشتغل فاشل مثل خدماتهم مستحيل تتواصل معهم ويقدمون لك خدمه,Medium,No,Medium,No
لعبة جدا فخمه و رائعه بس في مشكله انها بتطفي لحالها وانا بلعب ارجووو حل المشكله بسسرعه,High,No,High,No
تمام ممتاز جدا جدا جدا جدا,No,No,High,No
وش السالفه دعايه هذ عن ايش,No,No,No,Medium
الاسعار غاليه جداً بشكل مبالغ فيه,No,Medium,No,Low
حراميه ولايوجد مصداقيه تعلق اللعبه ويعطيك رسالة انه يوجد خلل ثم يتم مصادرة الفيش عليك ولما تتواصل مع الدعم الفني للتطبيق يتم تخديرك بالوعود الكاذبه بصراحه لايوجد مصداقيه,No,No,Medium,Medium
شكرا لكم وكتب الله اجركم,No,No,High,No
ممتاز جداً يستحق الشراء,No,No,High,No
ببطيزي يا ببجي جيش فري فاير,No,No,No,High
لعبه حلوه بس بيطيروها ايمت مارادو,No,Low,Medium,Low
برنامح حلو بس بفلوس وسعر الاستشاره اغلا من الذهاب لدكتور,No,Medium,Medium,No
يقول صيغة البريد غلط غلط غلط اجل وش صيغه صيغة صينه مثلن...ويقول اسم المستخدم لازم سويتها ولانفع. وش يبغى من اسم نستخدم. مافيطريقه الاوسويتها. تم الحذف,Medium,No,No,No
يسهل كثير من الخدمات كانت تأخذ كثير من الوقت,No,No,Medium,No
ليش العبه ماتعدم اللغه العربيه,No,Medium,No,No
برنامج فاشل فاشل فاشل لانك لا تستطيع الاستعلام عن اي شئ كما لا تستطيع الدخول,Medium,Low,Low,No
اذا جيت اسجل دخول كود الحماية ما ينرسل على جوالي حاولت مليون مره ولا فيه فايدة,Medium,No,No,No
العاب مررررره كنت حلوووه بس خربوه تقيم من اول العاب ٥ نجم ايحين٣ نجم اتمن تارجعواه مثل اول باي,No,Medium,Medium,No
العبها من السيزون الاول و الحين السيزون الثالث,No,No,Low,Medium
أفضل الالعاب اللي تمثل الكاوبوي,No,No,High,No
انصح به سهل وممتع,No,No,High,No
دايما يطلب التحديث,Medium,Low,No,No
لعبه رائعه جداً,No,No,High,No
مايفع ذلك ينبغي الكل يستفيد وبحدود,No,No,No,Medium
البرنامج حاولت اسجل فيه اكثر من مرة وفي اوقات مختلفة لكن للأسف ما يقبل التسجيل,Medium,No,No,No
يجننننتننن البرنامج بصراحه,No,No,High,No
التطبيق تعبان كل ماطلبت شي يجي رساله بالاحمر حدث خطا ما وشكرا,High,No,No,No
واو كتير حلوة بس مو صالحة للاطفال لانو عيب يشوفو هيك اشكال و بتمنى تصلحو الأخطاء,Low,Medium,High,No
"التطبيق جيد لكن اذا كانت لغة الجهاز عربية واجهت مشكلة في التسجيل و لا يظهر الشحنات 

اما اذا كانت اللغة انجليزية لاتظهر هذه المشاكل",Medium,Low,Medium,No
يع مو حلوه,No,No,Medium,No
جيد ولكن هناك بعض الأمور التقنية مثل البيانات الشخصيه غير قابلة للتعديل,No,Medium,Medium,No
لعبه حلوه لكن كل المراحل متشابهة,No,Medium,Medium,No
التطبيق لا يمكن الدخول اليه الافضل الغائه لا احد يستطيع استعماله,High,No,No,No
لمن افتح اي رابط يقول اعادة التحميل و م يشتغل بعدين ؟ ليههه بدون سبب كذا ؟,High,No,No,No
كيف يمكننا ان نجد كود الدعوة؟,No,No,No,High
شي جيد وله إيجابيات وذا انطباع ممتاز,No,No,Medium,No
اللعبة تعلج كتير بس اللعبة حلوة أويييييي💗💗,Medium,Low,High,No
بعد التحديث صار خايس فديوهاتك ماتنفتح وبعض الصور صار سيئ نرجو اعادة التحديث القديم,Medium,No,Medium,No
لعبه رائعه و تستحق 10 نجوم 🤗و تحياتي من عمان 💖🇴🇲🇴🇲💖🇴🇲💖,No,No,High,No
البرنامج علق في جهازي واعطاني شاشة بيضاء,High,No,No,No
وكأنك تصمم من كمبيوتر ، لا يستغني عنه اي احد ، اصحاب المحتوى واليوتيوب وغيرها,No,No,High,No
الفكره طيبه وخاصه عند المتابعه لى مصروفاتك اول باول لكن يجب ادخال البيانات اول باول حتى تستفيد شكرا لكم,No,No,High,No
الكرافت سئ جدا ولا انصح بها,Low,No,High,No
تقدم وتطور وزارة الزراعة سريعا شاكرين ومقدرين ومتعاونين,No,No,Medium,Low
كباتن التوصيل مره محترمين والالغاء مجاني وجربت الخضراوات والفواكة مررررره ابداع وسعر رخيييص شكرا تو يو,No,No,High,No
بس التحديث الاخير مب مناسب,Medium,Low,Medium,No
والله انه كلب يدخلني الإعلان عصب👎👎,Medium,Low,Medium,No
برنامج غير مفيد يحتاج إلى تطوير,No,Medium,High,No
"كل ما افتح مقطع يوتيوب يطلع اعلان
كل ما افتح موقع بمحرك البحث يطلع اعلان
كل ما انزل برنامج او اشغله يطلع اعلان

اتوقع الاعلانات للعبه ذي قليله جداً
نبي اعلانات على شكل استكرات وبوستات وبانر وسيارات بالشوارع وملصقات على ناطحات السحاب وطائرات تكتب اسم اللعبه بالسماء وغواصين باعماق البحار ماسكين هواتفهم النقاله ومشغلين هذي اللعبه وغلافات لاكلات الوجبات السريعه باسم اللعبه واذا تخترعون شي جديد او تكتشفون شي جديد خلو اسمه باسم اللعبه والمواليد الجدد نحتاج نسميهم باسم اللعبه كنوع جديد من الاعلان",No,No,No,High
جميل ولاكين مكلف جدا في النت,Medium,Medium,Medium,No
التطبيق الان لا يعمل بعد التحديث الاخير,High,No,No,No
ظانلب ئ. بنزلزئ لن تب بمب. بنبمنئر ليث خالي ايش,No,No,No,High
برنامج كذب لا بعمل ابدا لا يستحق ولا نجمه,Medium,No,Medium,No
لايمكن الدخول انا من احد منسوبي الصحه البرنامج لم يتم تجربته قبل الاعلان لدخول,High,No,No,No
مممممممتتتتتتاااااااااز يستاهل خمسه نجوم بس مافي مجانا,No,Low,High,No
حمله وانت مغمض,No,No,High,No
تحيا فلسطين رغم انفكم,No,No,No,High
ادارته فاشله ولا تستطيع التصرف لا تساعد سوا الداعمين الغير محترمين برنامج فاشل مثل ادارته,No,Low,Medium,Low
"كنت دامن اقول 
انه قوقل بكل انواعها حلوه بس عقب الفلم الموسئ 
للرسول صلي الله عليه وسلم 
طاح من عين ومراح احمله 
مايستهل ولا نجمه

حسبنا الله ونعم الوكيل
الله لوفق المونج ولا الممثلين ولا الكاتب 
وكل من شارك في هل فلم",No,No,No,High
لماذا لايسمح بالحجز للزوجة المتاح الابن والابنة افيدوني جزاك الله خير,Medium,Medium,No,No
صراحه اعجبني كان عندي وصفه لعلاج وكان جدا غالي علي لكن حصلت على بديل بربع السعر جزاكم الله خير,No,No,High,No
كانت جيدا ولكن انتم خربتو ام العبه شكيتونه اذا انتا موحوت تكل قنادر وتصفز ميصر هيج ترا ونوب طلعتنه مالت الهجره سالفه جديده ياعمي زفت في زفت يساوي زفت,No,Low,Medium,Medium
التطبيق مو مثل ما توقعته بصراحه الدعايات غير عن يلي جربته هذا كل يلي اريد اكوله,No,Low,High,No
مو راضي يتحقق من رقم الجوال عدت اكثر من 6 دقايق وماجات رسالة التوثيق,High,No,No,No
البرنامج ممتاز لكن كل مرة اشغله لازم يهنج وتاني أو ثالث مرة يشتغل تمام. ارجو حل المشكلة,High,No,Medium,No
جميل جدا ويحد من الغش التجاري اللي نتعرض له,No,No,High,No
"الهيئة العامة للأرصاد وحماية البيئة غير مسجلة 
رغم ان تصاريحها الأهم لدى المصانع",Low,High,No,No
التطبيق حلو بس مساحتو كبيرة جدن,No,High,Medium,No
اكثر من رااااائع,No,No,High,No
الله يحرقكم يا إدارة الدعم بعد كل تحديث نلاقي قرف مشكلة من عندكم انا جهازي سامسونج +8Aجهاز حديث ليه اللعبة دلوقت ثقيلة ومابتفتح بسرعة انا هاحذفها,High,Low,Low,No
التطبيق مرة سهل وجميل والحلو فيه انه يدعم العربية  واشكر القامين على التطبيق,No,No,High,No
التطبيق لا يتيح لك تقييم تجربتك مع المطعم او المحل اللي اشتريت منه، كذلك في حال وجود اختلاف بين الصورة والحقيقة لاتستطيع رفع شكوى من التطبيق,Low,High,Medium,No
برنامج لابد ان يكون في جميع الجوالات لا يستغنى عنه,No,No,High,No
عشانكم ماخذين ناس و دافعين لهم فلوس عشان يقيموكو 5 نجوم بحذفها,No,No,Low,High
ابلشونا بالتحديث.. وشروط واجد وكل شيء عندهم,No,No,Medium,Low
التحدث هاذ مو حلو نريد تحديث اجمل كان القديم احسن,Medium,Low,Medium,No
العبه جميله لاكن الطيارات المجانيه قليله,No,High,Medium,No
التحديث القديم حلو وأفضل,Medium,Low,Low,No
حاولت تحميل المصاحف عدة مرات وحذفت التطبيق مرتين بدون فائدة,High,No,Low,No
اخذ عدد الماسات٢٦ جدا مبلغ فيه وسيئ جدا الرجاء النظر في الموضوع,Low,Medium,Medium,No
التطبيق اصبح فاشل لماذا تم حظري وانا لم اخالف القانون انا رجل قانوني ارجو ان تلقو حل ولا سوف يكون التطبيق فاشل,No,No,Low,Medium
"مشكلة المطور او المشغل استغلالي بقوة
مواصلة اللعبة 900 وزيادة 300 في كل مرحلة
وجائزتك من 50 الى 100
والمشتريات من الذهب غالية بالمرة
جار حذف اللعبة",No,No,High,No
انا عن نفسي بلرنقو برنامج نظيف جدا جدا استخدم بلرنقو اكثر من 7 سنوات جميييل جدا جدا,No,No,High,No
حلو جدا ربي يحفظكم احلا بيكو لايف واحلا برنامج,No,No,High,No
الصراحة واااااااااااااااااو بس كنتو لازم طحطوا بس لل ١٢ سنة 👍👌💟😂😍😵👥💛💚💙❤💔💓💜💖💗💝💘👑🔭🎮💎💒💍,No,Medium,High,Low
والله مخييس كل شي بالنقاط ماتقدر تسولف,Low,No,High,No
برنامج ممتاز وشكراً لك,No,No,High,No
اللعبه حلوه بس ياليت تحطون سيارات في اللعبه,No,High,High,No
كل ما اخرج من وارجع ادخل مره ثانيه يشتي تسجيل بيانات من جديد ايش السبب,High,No,No,No
انه جميل كثير,No,No,High,No
برنامج سيئ حسبنا الله ونعم الوكيل وين نروح نشتكي واذ رحنا قالو من البرنامج معا للرصد اي ثلاث رواتب ماخذتها وانا الله يعلم بضروفي ومدير الشركه لبناني ولاكنك تكلمه واذ كلمته قال لاتحاكيني هيك,Medium,No,Medium,Medium
لا يمكنك التحكم ب جودة التشغيل لا يمكنك تشغيله على التلفاز بواسطة كيبل الاتش دي ام,Medium,Medium,No,No
البرنامج سيء وحرامي لا ينزلو الكوينزات ويسحبو مبالغ من الفيزا من غير وجه حق وتم التواصل مع الادارة وطبعا مافي اي تجاوب لحل المشكله واكثر من مره يصير هالشي والله عيب,Medium,Low,Medium,No
التطبيق جيد ويخدمنا كثيرا قبل ربطه بحسابي .....بعد ربطه اصبح معقد وغير واضحو,Medium,Medium,Medium,No
البرنامج يحسسني اني مهرب (امامك كمين شرطة) 👀,No,No,No,High
للاسف برنامج سيء,No,No,High,No
العبه ما تشتغل في جوالي نوعه هواوي واي 7 بريم,High,No,No,No
حلوة جدآ بس تتحمل بكثير من الوقت,Low,Low,High,No
ما سبب عدم وجود تطبيق للمعلمين,No,High,No,No
نريد اضافة مصحف نسخة باكستانية اللى في الحرمين وشاكرين لكم ونحتاج هذه النسخة,No,High,No,No
جميله ولكن عناصر التحكم محتاجه تعديل,No,High,Medium,No
العاب مره سيه ما عجبني لا تحمله 😠😠😠😠😠😠😠😠😠😠😠😠😠😠,No,No,High,No
لعبة جيدة لحن اتمنى ان شاء الله تكون العاب حلو اكتر منها,No,No,High,No
من افضل البرامج لحفظ الصور,No,No,High,No
جيده لا باس فيها اتمنالكم مزيد من التقدم والله يعطيكم العافيه.🤲🤲🤲,No,No,High,No
انصح الجميع لاحد يحمل لعبة لوردس موبايلي خايسا جدجد ٠,No,No,High,No
كثير من الاغاني غير موجوده,Low,High,Low,No
أفضل تطبيق على الإطلاق لتشغيل الصوتيات والفيديو 😉👍 this application understand you very will 😎👌,No,No,High,No
تاخذون. 17 ريال قمية رسوم الاسترجاع اتمنى انا تلغون قمية الاسترجاع النقدي 12 ريال توصيل غالي جد,No,High,Medium,No
يعلق ولايدخل التطبيق زود على التعب غربله,High,No,Medium,No
هذا البرنامج رائع جدا أتمنى أنكم تجربوه,No,No,High,No
تجربة ممتازه الله يكتب لنا ولكم الخير التوفيق 😊,No,No,High,No
لابظهر رد الوزارة للطلبات المقدمة ارجو تحسين الخدمه . تم حذف التطبيق .,Medium,Medium,Medium,No
برنامج مممممممممتاز جدا جدا جدا والله يوفقكم♥️🙏,No,No,High,No
خدمه ضعيفه بعض الشي,Low,Low,Medium,No
تم حظر حسابي لاني فتحت كاام ورقصت هل هدا ممنوع ماعمل شي اباحي,Low,No,No,High
التطبيق مميز واتمنى يدعم تسجيل الدخول عن طريق البصمه,No,High,Medium,No
انصحكم لا احد ينزلووو لان مايشتغل ع البوبجي,Medium,Low,Medium,No
لعبة مسلية جدا انصح الكل بتحميلها,No,No,High,No
"اصبح البرنامج من كم يوم لا يرسل ولا يستقيل اي رسائل او مكالمات وحتي صفحة الأخبار ما يظهر عليها شيء الا صور بروفايلي
أرجو حل المشكله او إرسال تحديث لمعالجة هذه الأخطاء
ومشكورين علي التعاون",High,No,Low,No
مووو حللللو ما انصح احد يجربة ما يستحق ولا حتة ربع نجمة,No,No,High,No
واو امونج اس تنمر بس بس العبى............ جمييييييييييييييييييييييييييل بعد ما اعرف احجي,No,No,Medium,Low
حاولت اكثر افتح البرنامج لاخذ موعد اذا اكتب اسمي يقولون غلط كيفية الطريق الفتح,High,No,No,No
كل ما فتحت البرنامج يطلب مني اني انزل التحديث الجديد المتوفر ولكن مافي تحديث حذفته ورديت البرنامج مره ثانيه ونفس المشكلة اتمنى تعالجونها,High,No,No,No
لعبه حلوه بس باقي انكم تنزلون المستشفى و المطار و الشاطئ و الطبيب البيطري,No,High,Medium,No
ياريت اضيفون اللغه العربيه انها جميلة,No,High,No,No
عندي خطأ في حسابي هو اني ما قدر اعمل لايف و شكر,High,No,No,No
الطلب بيجي بارد ولايوجد صوصات معه,No,Low,Medium,Low
"مميزاته رائعة جدا يستحق التجربة
لكن الان معلق البرنامج وثقيل جداً",Medium,No,Medium,No
جيد جداً يحسب الضريبة فوراً بدون نت,No,No,High,No
نطلب اضافة اللغة العربية فضلا لاامرا حتى نتمكن من التعامل مع الموقع او البرنامج بسلاسة ويكون هنالك اقبال اكثر من قبل العرب,No,High,No,No
"برنامج رااائع رااائع جدا يستاهل خمس نجوم
اشكر القائمين على البرنامج افضل بكثير من البرامج المشابهه له 
ارجو من قروب البرتقال بحلته الجديده تحميله",No,No,High,No
التطبيق سريع وجيد مقارنة بالموقع على الويب ولكن لدي مشكلة هو انني مسجل على الموقع ولكن في التطبيق لم يسمح بذلك,Low,Medium,Medium,No
كل مرة أحاول عمل مستخدم جديد يتم غلق البرنامج,High,No,No,No
افضل لعبه عندي,No,No,High,No
حاولت ان استعرض الفعاليات حسب مدينتي او اي مدينة اخرى ولكن لم اجد هذه الاضافة .. اتمنة اضافتها,Low,High,No,No
"افضل تطبيق يتاخر عليك
ويجيك طلبك تعطيه مندوب التوصيل يتصدق فيه

وكمان ياخذون فلوسك عشان يذلونك لازم تاخذ اكلهم غصب",No,Low,High,Low
لقد تم حظر حسابي ارجو فتح الحظر هذا غير منصف,Low,No,No,Medium
من ادخل يطلعني خارج البرنامج,High,No,No,No
طلبت طلب وحاسبت عن طريق ابل باي و جاني باكامل غلط و احاول اتواصل مع خدمة العملاء ولاكن الخدمة ظريفة جدًا للأسف,Medium,No,Medium,No
تب تب اجمل التطبيقات جدا جدا جميل... 💛,No,No,High,No
يجب حل المشكلة بأسرع وقت ممكن,Medium,No,No,Medium
"برنامج رائع ومميز والى الامام
وعقبال كل الشركات إن شاء الله
 الكهرباء سهلتها على المستخدمين 
الله يسهلها عليهم
شكراً لكم",No,No,High,No
كويس جدا بس وقت التطوير ومبالغ التطوير كثيره جدا,Low,Medium,Medium,No
كل ما افتح اللعبه تلقلق والبنج يرتفع,High,No,No,No
يوجد عيب عندما اضغط على تحميل الترجمة بدون انترنت يقول افرغ مساحه التخزين والجهاز يوجد بها مساحه كبيره,High,No,No,No
برنامج معفن ووجيه معفنه وكلهم يبون سكس ومقحبه,No,No,High,Low
برنامج ماتعرف وش يبيي وكل شي بفلوس,Low,No,High,No
للاسف بعد ماحملت البرو مافي اي فرق بين البرنامج العادي والبرو,No,Low,High,No
محد عرفت لشو شيرت عملتوه لكل شي عمل تطبيق منفرد لكل ميزي بشيرت,No,No,No,High
نسيت الرمز كيف ارجعه,Medium,No,No,Medium
تم تجربه عدد اجهزة ولا فائدة,Medium,No,No,Medium
جدا ممتاز لكن لماذا لا يكون فيه   دردشه مع الاشخاص  المتابعين  اذا ممكن,No,High,Medium,No
جميل جداً ورائع لكن احس في بعض العيوب الليالي بيعلق معي كثير اتمنى تحيه لهذا العيب اتمنى تكونوا في تحديث تحديث يكون في ملابس في اسلحه عشان ابقى حميتها التليفون القديم كان كان كل حاجه بسيطه عاوز التحديثات رائعه رائعه رائعه رائعه رائعه رائعه يا ابن الكلب يلعن ابو ذكائك اخلي صاحبه مامتي يا ام عين كبيره والحسو ده تحسدك واتمنى ان تكون بتقفيل اللعب عليه عشان وايضا اتمنالكم مقتل سيده بهذه اللعبه يهزكم واتمنى ان نتقابل في الجنه واتمنى ايضا ان تقبل اثناء العاب جديده وحديثه ونظيفه قليله الادب كمان عشان ب,Medium,Low,Medium,Medium
صراحة اللعبة في البداية جميلة لكن بعدين تصبح مملة لان كل المهمات في ماب واحد وماراح يتغير انا لعبت الى المرحلة 16وصارت العبة مملة كل مرة تسو نفس الشيء,No,No,High,No
برنامج ممتاز. ويعطيك نسبه 95... حاجه جميله...,No,No,High,No
روعه حده وممتاز جداً,No,No,High,No
كل العب خساره علي شان نشتري مجوهرات,No,No,High,Low
كل مره يطلبون تحديث ومايسمح لك تستخدم البرنامج الا لين تحدث وهذا شي مزعج صراحة ماعدا ذلك البرنامج حلو ويخدم باشياء كثير,Medium,Low,Medium,No
لا يوجد تحميل في البرنامج,Medium,Medium,No,No
"جيد جداً التطبيق
وياليت ترفع دقته",No,Medium,Medium,No
